id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36071385,"Nemocnice Český Krumlov, a.s.",26095149,TREKVILA s.r.o.,03329275,5672936.12,2025-11-27,2025,"Smlouva o dílo - Provádění úklidových služeb pro NČK, a.s.",False
36071029,"Základní škola Mohelnice, Mlýnská 1",00852970,STRAKOŠ  nábytek s.r.o.,07376901,61678.0,2025-12-16,2025,Kupní smlouva-židle,True
36069913,Moravskoslezský kraj,70890692,VAMOZ CONSTRUCTION a.s.,25848461,51679277.87,2025-12-16,2025,"Smlouva o dílo - na stavbu Novostavba dílen pro Střední školu technickou Opava, VZ č. 160/2024",False
36067269,"Základní škola a Mateřská škola, Praha 6, náměstí Svobody 2",67798543,"Hast, spol. s r. o.",49549979,206560.0,2025-12-15,2025,Zajištění pobytu v přírodě,True
36063341,"Střední škola informatiky, poštovnictví a finančnictví Brno, příspěvková organizace",00380385,Stredná odborná škola polytechnická  Jana Antonína Baťu,SK-37947541,91420.0,2025-12-15,2025,"Smlouva o zajištění akce č.  150/2025 formou poskytnutí ubytování  a stravování pro objednatele, a to ve dnech 19. – 30.",True
36061429,"Mateřská škola Chotěboř, Březová 272, okres Havlíčkův Brod",70156701,Vít Ressl - Kristina,45908788,101400.0,2025-12-11,2025,Objednávka – oprava podlahy ve třídě Berušek - MŠ Březová,True
36058809,"Základní škola kpt. Jaroše, Trutnov, Gorkého 38",64201112,SANTAL spol. s r. o.,42408121,6433473.0,2025-10-10,2025,dodatek ke kupní smlouvě č.1 (včetně příloh),True
36051789,Základní škola Na Lukách Polička,70154520,Moderní škola s.r.o.,28607376,102580.0,2025-12-09,2025,Kupní smlouva na pořízení školního nábytku ,True
36041717,"Základní škola Bruntál, Okružní 38, příspěvková organizace",75026961,NEJČI nábytek s.r.o.,25905465,63000.0,2025-12-12,2025,Objednávka nábytek,True
36040341,"Střední škola obchodní, České Budějovice, Husova 9",00510874,WOOP Services s.r.o.,04656598,264905.3,2025-12-12,2025,"Objednávka nábytku, židlí a polohovacího křesla",True
36039189,"Základní škola, Praha 5, Pod Radnicí 5",70845964,NÁBYTEK HONZA s.r.o.,27198821,164811.0,2025-10-06,2025,Nábytek vybavení ZŠ Nepomucká 3 a Nepomucká 5,True
36038921,"Základní škola, Praha 5, Pod Radnicí 5",70845964,NÁBYTEK HONZA s.r.o.,27198821,228727.0,2025-06-19,2025,"Nábytek Honza do ZŠ Nepomucká 3, Praha 5",True
36032013,"Střední zemědělská škola, Brandýs nad Labem - Stará Boleslav, Zápská 302",61388947,MITEL a.s.,25675036,2883477.0,2025-11-26,2025,Inovace počítačové učebny,True
36793105,"Střední škola řemeslná a Základní škola, Soběslav",72549572,MULTIP Moravia s.r.o.,16627971,271051.24,2026-02-12,2026,"Objednávka školního nábytku objekt Bechyňská 26, Soběslav.",True
36790441,Statutární město Ostrava,00845451,"Základní škola, Ostrava-Hrabůvka, U Haldy 66, příspěvková organizace",61989266,120000.0,2026-02-13,2026,Veřejnoprávní smlouva ev.č. 0579/2026/KaŠ,False
36765153,Město Rýmařov,00296317,"Mateřská škola Rýmařov, Jelínkova 3, příspěvková organizace",62352733,1909399.15,2026-01-28,2026,Bezúplatný převod - Smlouva o bezúplatném převodu majetku,False
36764901,Město Rýmařov,00296317,"Základní škola Rýmařov, Jelínkova 1, okres Bruntál",00852635,116704435.17,2026-01-28,2026,DODATEK č. 3 ke smlouvě o výpůjčce ze dne 14.09.2006,False
36764897,Město Rýmařov,00296317,"Základní škola Rýmařov, Jelínkova 1, okres Bruntál",00852635,9127685.58,2026-01-28,2026,Bezúplatný převod - Smlouva o bezúplatném převodu majetku,False
36735465,Městská část Praha 5,00063631,AKADEMIE MÚZICKÝCH UMĚNÍ V PRAZE,61384984,67881.0,2026-01-08,2026,pronájem sálu Martinů v HAMU na koncert 19. ročníku Talent Praha 5,False
